PrescriberID,qAddress,Orders,PlantDate,Plan,Age,latitude,longitude
232565,940 Elizabeth St,1,20-03-2017 00:00,2017,0,37.75171022,-122.441498
122650,300x Hickory St,6,10-11-2016 00:00,2016,1,,
122670,301x Hickory St,3,10-11-2016 00:00,2016,1,,
122658,300x Hickory St,14,10-11-2016 00:00,2016,1,,
122660,300x Hickory St,16,10-11-2016 00:00,2016,1,,
122648,300x Hickory St,4,10-11-2016 00:00,2016,1,,
122649,300x Hickory St,5,10-11-2016 00:00,2016,1,,
145278,730 11th Ave,1,20-03-2017 00:00,2017,0,37.77448101,-122.4691091
96369,168 Cervantes Blvd,1,09-08-2011 00:00,2011,6,37.80468521,-122.4402315
52566,1555 40th Ave,1,12-01-2016 00:00,2016,1,37.75778273,-122.4993677
22346,5280 03rd St,1,27-06-2014 00:00,2014,3,37.72954822,-122.3926894
244214,342 Scott St,1,20-03-2017 00:00,2017,0,37.77300994,-122.4355982
21823,2741 Taylor St,1,19-08-2006 00:00,2006,11,37.80797069,-122.4158502
183515,2562 26th Ave,1,21-03-2017 00:00,2017,0,37.73970633,-122.4828998
3558,101 Cargo Way,4,21-03-2017 17:52,2017,0,37.74050235,-122.3776366
28375,3014 Sacramento St,1,09-10-2003 00:00,2003,14,37.78875791,-122.4429785
18228,1737-1795 Post St,2,09-04-2004 00:00,2004,13,37.78534132,-122.431005
17325,150 Otis St,1,31-08-2016 00:00,2016,1,37.77095437,-122.4203558
3528,201X Cargo Way,38,21-03-2017 16:23,2017,0,37.74144532,-122.3793046
138938,632 HAYES ST,1,21-03-2017 00:00,2017,0,37.77646121,-122.4269126
121137,1388x Minna St,1,08-09-2016 00:00,2016,1,,
44642,,60,29-04-2001 00:00,2001,16,,
4749,1255 Columbus Ave,1,03-08-2015 00:00,2015,2,37.80577303,-122.4182612
44994,,106,25-04-2001 00:00,2001,16,,
121139,1388x Minna St,3,08-09-2016 00:00,2016,1,,
166623,520 Jersey St,1,21-03-2017 00:00,2017,0,37.75036438,-122.4371358
121138,1388x Minna St,2,08-09-2016 00:00,2016,1,,
241180,300 Duboce Ave,3,20-02-2001 00:00,2001,16,37.76955721,-122.4268298
49739,145 Missouri St,1,22-03-2017 00:00,2017,0,37.76454023,-122.3966237
225032,4425 18th St,1,02-03-2004 00:00,2004,13,37.7605945,-122.4387528
221366,55 Homestead St,1,22-03-2017 00:00,2017,0,37.75006013,-122.4393915
241178,300 Duboce Ave,1,20-02-2001 00:00,2001,16,37.7695636,-122.4267425
251189,1493 Hudson Ave,1,22-03-2017 00:00,2017,0,37.73883916,-122.3862642
241179,300 Duboce Ave,2,20-02-2001 00:00,2001,16,37.76956232,-122.4267837
241181,300 Duboce Ave,4,20-02-2001 00:00,2001,16,37.76955913,-122.4268742
251197,900X 14th St,3,22-03-2017 00:00,2017,0,37.76751054,-122.433599
251196,900X 14th St,2,22-03-2017 00:00,2017,0,37.76824246,-122.4345993
7992,2247 Franklin St,1,01-02-2007 00:00,2007,10,37.79517921,-122.42508
106679,2200 Lyon St,1,24-06-2014 00:00,2014,3,37.79113875,-122.4460655
98037,1384X Grove St,1,23-03-2017 00:00,2017,0,37.77582526,-122.4393571
117428,,2,14-06-2016 00:00,2016,1,,
6251,1315 Ellis St,1,06-12-2003 00:00,2003,14,37.78285324,-122.4281761
9896,1800X Pine St,2,20-02-2007 00:00,2007,10,37.78892541,-122.426538
220007,929 Valencia St,1,12-09-2015 15:22,2015,2,37.75796277,-122.4211105
110194,2123 Pierce St,1,26-03-2015 00:00,2015,2,37.78980712,-122.4374813
47510,54X Cayuga Ave,1,27-03-2017 00:00,2017,0,37.73158339,-122.4295272
213016,120 Ortega St,1,27-03-2017 00:00,2017,0,37.75295695,-122.4649514
832,1396 47th Ave,1,28-03-2017 12:18,2017,0,37.76054428,-122.5069327
11598,4134 Judah St,1,28-03-2017 11:51,2017,0,37.76048345,-122.5065435
111561,1498x Kansas St,2,28-03-2017 00:00,2017,0,37.75089751,-122.402317
97319,1038 Taraval St,1,28-03-2017 12:52,2017,0,37.74306751,-122.4774242
58021,4026 Irving St,1,28-03-2017 12:07,2017,0,37.76257173,-122.5012197
26071,247 Orizaba Ave,1,28-03-2017 13:41,2017,0,37.71342972,-122.4626502
11606,4200x Judah St,1,28-03-2017 11:54,2017,0,37.76045095,-122.5071358
24532,1395 47th Ave,1,28-03-2017 12:21,2017,0,37.76072337,-122.5070915
830,1384 47th Ave,1,28-03-2017 12:15,2017,0,37.76071635,-122.5069447
54712,4508 Irving St,1,28-03-2017 11:58,2017,0,37.76234527,-122.5063635
21682,1830 Sutter St,1,28-03-2017 00:00,2017,0,37.78651577,-122.4305403
97322,1055 Taraval St,3,28-03-2017 12:42,2017,0,37.74287614,-122.4775411
29943,242 Broad St,1,28-03-2017 12:23,2017,0,37.71323398,-122.4605594
97323,1011 Taraval St,1,28-03-2017 12:25,2017,0,37.74289372,-122.4772138
11582,4000 Judah St,1,28-03-2017 11:49,2017,0,37.76055019,-122.5050036
251221,2401X Washington St,1,28-03-2017 00:00,2017,0,,
48827,435 Pacific Ave,1,07-11-2002 00:00,2002,15,37.79736024,-122.4027685
48332,,142,17-07-2002 00:00,2002,15,,
24515,2030 Fell St,1,07-04-2016 07:40,2016,1,37.77238102,-122.4513341
97317,1000 Taraval St,2,28-03-2017 12:59,2017,0,37.74308434,-122.4769891
182083,1101 Taraval St,1,28-03-2017 12:33,2017,0,37.74285808,-122.4780077
